_id,FinancialYear,HBT,Dataset,DatasetQF,NumberOfAdmissions,NumberOfDischarges,NumberOfStays,NumberOfPatients,NumberOfHospitalResidents,NumberOfHospitalResidentsQF
1,1997/98,S08000015,Total,d,3540,3570,3360,2430,500, 
2,1997/98,S08000015,Total,d,900,910,870,780, ,:
3,1997/98,S08000015,SMR04, ,2640,2660,2490,1780,500, 
4,1997/98,S08000016,Total,d,900,930,860,610,130, 
5,1997/98,S08000016,Total,d,220,230,220,200, ,:
6,1997/98,S08000016,SMR04, ,680,700,650,450,130, 
7,1997/98,S08000017,Total,d,1100,1120,1030,820,270, 
8,1997/98,S08000017,Total,d,250,250,230,210, ,:
9,1997/98,S08000017,SMR04, ,850,860,800,640,270, 
10,1997/98,S08000029,Total,d,2200,2220,1980,1460,500, 
11,1997/98,S08000029,Total,d,290,290,250,240, ,:
12,1997/98,S08000029,SMR04, ,1910,1930,1730,1260,500, 
13,1997/98,S08000019,Total,d,1880,1930,1680,1250,390, 
14,1997/98,S08000019,Total,d,290,300,260,240, ,:
15,1997/98,S08000019,SMR04, ,1590,1640,1430,1050,390, 
16,1997/98,S08000020,Total,d,3370,3420,3180,2470,650, 
17,1997/98,S08000020,Total,d,1000,990,910,810, ,:
18,1997/98,S08000020,SMR04, ,2370,2430,2270,1740,650, 
19,1997/98,S08000031,Total,d,11320,11370,10280,7920,2200, 
20,1997/98,S08000031,Total,d,2690,2680,2440,2210, ,:
21,1997/98,S08000031,SMR04, ,8630,8690,7840,5950,2200, 
22,1997/98,S08000022,Total,d,3070,3090,2820,2090,350, 
23,1997/98,S08000022,Total,d,1010,1010,930,770, ,:
24,1997/98,S08000022,SMR04, ,2060,2080,1890,1470,350, 
25,1997/98,S08000032,Total,d,3230,3190,2930,2250,680, 
26,1997/98,S08000032,Total,d,660,660,630,580, ,:
27,1997/98,S08000032,SMR04, ,2570,2520,2300,1750,680, 
28,1997/98,S08000024,Total,d,6610,6680,6150,4290,1140, 
29,1997/98,S08000024,Total,d,1130,1140,990,880, ,:
30,1997/98,S08000024,SMR04, ,5480,5540,5160,3540,1140, 
31,1997/98,S08000025,Total,d,60,70,60,60,0, 
32,1997/98,S08000025,Total,d,60,70,60,60, ,:
33,1997/98,S08000025,SMR04, ,0,0,0,0,0, 
34,1997/98,S08000026,Total,d,120,120,120,90,0, 
35,1997/98,S08000026,Total,d,120,120,120,90, ,:
36,1997/98,S08000026,SMR04, ,0,0,0,0,0, 
37,1997/98,S08000030,Total,d,3670,3690,3350,2560,780, 
38,1997/98,S08000030,Total,d,710,710,660,620, ,:
39,1997/98,S08000030,SMR04, ,2960,2980,2680,2040,780, 
40,1997/98,S08000028,Total,d,300,320,310,210,30, 
41,1997/98,S08000028,Total,d,130,130,130,100, ,:
42,1997/98,S08000028,SMR04, ,180,190,180,110,30, 
43,1997/98,SB0802,Total,d,80,80,30,80,220, 
44,1997/98,SB0802,Total,d,0,0,0,0, ,:
45,1997/98,SB0802,SMR04, ,80,80,30,80,220, 
46,1998/99,S08000015,Total,d,3520,3560,3340,2390,470, 
47,1998/99,S08000015,Total,d,850,850,800,700, ,:
48,1998/99,S08000015,SMR04, ,2680,2700,2540,1810,470, 
49,1998/99,S08000016,Total,d,860,870,800,610,120, 
50,1998/99,S08000016,Total,d,220,220,200,190, ,:
51,1998/99,S08000016,SMR04, ,640,650,600,450,120, 
52,1998/99,S08000017,Total,d,1140,1180,1070,880,230, 
53,1998/99,S08000017,Total,d,310,310,280,260, ,:
54,1998/99,S08000017,SMR04, ,830,870,790,650,230, 
55,1998/99,S08000029,Total,d,2280,2300,2050,1530,480, 
56,1998/99,S08000029,Total,d,320,310,270,260, ,:
57,1998/99,S08000029,SMR04, ,1960,1980,1770,1290,480, 
58,1998/99,S08000019,Total,d,1690,1750,1530,1210,330, 
59,1998/99,S08000019,Total,d,300,300,280,260, ,:
60,1998/99,S08000019,SMR04, ,1390,1450,1250,980,330, 
61,1998/99,S08000020,Total,d,3670,3700,3360,2580,610, 
62,1998/99,S08000020,Total,d,980,980,900,810, ,:
63,1998/99,S08000020,SMR04, ,2690,2720,2460,1870,610, 
64,1998/99,S08000031,Total,d,10810,11050,10000,7810,2010, 
65,1998/99,S08000031,Total,d,2720,2760,2440,2210, ,:
66,1998/99,S08000031,SMR04, ,8090,8290,7550,5820,2010, 
67,1998/99,S08000022,Total,d,3210,3190,3000,2150,360, 
68,1998/99,S08000022,Total,d,1120,1120,1010,830, ,:
69,1998/99,S08000022,SMR04, ,2080,2080,1980,1450,360, 
70,1998/99,S08000032,Total,d,3580,3590,3230,2470,670, 
71,1998/99,S08000032,Total,d,790,780,710,640, ,:
72,1998/99,S08000032,SMR04, ,2790,2810,2520,1910,670, 
73,1998/99,S08000024,Total,d,6530,6580,5950,4250,1070, 
74,1998/99,S08000024,Total,d,1200,1180,1030,940, ,:
75,1998/99,S08000024,SMR04, ,5330,5400,4920,3440,1070, 
76,1998/99,S08000025,Total,d,60,60,60,50,0, 
77,1998/99,S08000025,Total,d,60,60,60,50, ,:
78,1998/99,S08000025,SMR04, ,0,0,0,0,0, 
79,1998/99,S08000026,Total,d,110,110,110,80,0, 
80,1998/99,S08000026,Total,d,110,110,110,80, ,:
81,1998/99,S08000026,SMR04, ,0,0,0,0,0, 
82,1998/99,S08000030,Total,d,3650,3740,3330,2590,700, 
83,1998/99,S08000030,Total,d,730,730,680,590, ,:
84,1998/99,S08000030,SMR04, ,2920,3000,2650,2080,700, 
85,1998/99,S08000028,Total,d,190,170,170,140,40, 
86,1998/99,S08000028,Total,d,130,130,130,110, ,:
87,1998/99,S08000028,SMR04, ,50,40,40,40,40, 
88,1998/99,SB0802,Total,d,80,60,20,60,250, 
89,1998/99,SB0802,Total,d,0,0,0,0, ,:
90,1998/99,SB0802,SMR04, ,80,60,20,60,250, 
91,1999/00,S08000015,Total,d,3260,3280,3070,2170,450, 
92,1999/00,S08000015,Total,d,810,820,770,660, ,:
93,1999/00,S08000015,SMR04, ,2440,2460,2300,1630,450, 
94,1999/00,S08000016,Total,d,880,880,760,600,120, 
95,1999/00,S08000016,Total,d,220,220,210,190, ,:
96,1999/00,S08000016,SMR04, ,660,660,550,440,120, 
97,1999/00,S08000017,Total,d,970,1000,920,740,200, 
98,1999/00,S08000017,Total,d,240,240,220,200, ,:
99,1999/00,S08000017,SMR04, ,720,760,700,570,200, 
100,1999/00,S08000029,Total,d,2220,2250,1970,1480,450, 
101,1999/00,S08000029,Total,d,350,350,290,280, ,:
102,1999/00,S08000029,SMR04, ,1870,1900,1680,1240,450, 
103,1999/00,S08000019,Total,d,1520,1550,1360,1100,300, 
104,1999/00,S08000019,Total,d,330,330,310,270, ,:
105,1999/00,S08000019,SMR04, ,1190,1220,1050,860,300, 
106,1999/00,S08000020,Total,d,3540,3530,3180,2440,610, 
107,1999/00,S08000020,Total,d,1000,1000,920,820, ,:
108,1999/00,S08000020,SMR04, ,2540,2530,2260,1720,610, 
109,1999/00,S08000031,Total,d,11110,11210,9970,7930,1900, 
110,1999/00,S08000031,Total,d,2810,2810,2510,2260, ,:
111,1999/00,S08000031,SMR04, ,8300,8400,7460,5900,1900, 
112,1999/00,S08000022,Total,d,3310,3310,3150,2240,350, 
113,1999/00,S08000022,Total,d,1130,1120,1050,860, ,:
114,1999/00,S08000022,SMR04, ,2180,2180,2100,1530,350, 
115,1999/00,S08000032,Total,d,3810,3850,3420,2660,630, 
116,1999/00,S08000032,Total,d,860,880,820,710, ,:
117,1999/00,S08000032,SMR04, ,2940,2970,2610,2040,630, 
118,1999/00,S08000024,Total,d,6340,6450,5780,4280,970, 
119,1999/00,S08000024,Total,d,1150,1150,1020,950, ,:
120,1999/00,S08000024,SMR04, ,5190,5300,4760,3440,970, 
121,1999/00,S08000025,Total,d,60,60,50,50,0, 
122,1999/00,S08000025,Total,d,60,60,50,50, ,:
123,1999/00,S08000025,SMR04, ,0,0,0,0,0, 
124,1999/00,S08000026,Total,d,100,100,90,80,0, 
125,1999/00,S08000026,Total,d,100,100,90,80, ,:
126,1999/00,S08000026,SMR04, ,0,0,0,0,0, 
127,1999/00,S08000030,Total,d,3340,3390,3090,2430,650, 
128,1999/00,S08000030,Total,d,670,670,640,580, ,:
129,1999/00,S08000030,SMR04, ,2670,2720,2460,1930,650, 
130,1999/00,S08000028,Total,d,330,340,330,220,30, 
131,1999/00,S08000028,Total,d,160,160,160,120, ,:
132,1999/00,S08000028,SMR04, ,180,180,170,110,30, 
133,1999/00,SB0802,Total,d,70,80,20,80,240, 
134,1999/00,SB0802,Total,d,0,0,0,0, ,:
135,1999/00,SB0802,SMR04, ,70,80,20,80,240, 
136,2000/01,S08000015,Total,d,3090,3110,2920,2110,420, 
137,2000/01,S08000015,Total,d,760,760,730,610, ,:
138,2000/01,S08000015,SMR04, ,2330,2350,2190,1580,420, 
139,2000/01,S08000016,Total,d,840,830,750,580,130, 
140,2000/01,S08000016,Total,d,200,210,200,180, ,:
141,2000/01,S08000016,SMR04, ,630,620,550,420,130, 
142,2000/01,S08000017,Total,d,1070,1100,970,790,160, 
143,2000/01,S08000017,Total,d,250,240,220,190, ,:
144,2000/01,S08000017,SMR04, ,820,860,760,630,160, 
145,2000/01,S08000029,Total,d,2070,2090,1830,1420,430, 
146,2000/01,S08000029,Total,d,360,360,300,270, ,:
147,2000/01,S08000029,SMR04, ,1710,1730,1530,1170,430, 
148,2000/01,S08000019,Total,d,1580,1570,1370,1100,320, 
149,2000/01,S08000019,Total,d,270,280,260,250, ,:
150,2000/01,S08000019,SMR04, ,1310,1300,1110,870,320, 
151,2000/01,S08000020,Total,d,3670,3710,3160,2470,570, 
152,2000/01,S08000020,Total,d,1000,1000,920,810, ,:
153,2000/01,S08000020,SMR04, ,2670,2700,2250,1730,570, 
154,2000/01,S08000031,Total,d,10590,10670,9610,7490,1820, 
155,2000/01,S08000031,Total,d,2640,2640,2360,2110, ,:
156,2000/01,S08000031,SMR04, ,7940,8030,7250,5610,1820, 
157,2000/01,S08000022,Total,d,3580,3600,3260,2300,350, 
158,2000/01,S08000022,Total,d,1240,1260,1170,930, ,:
159,2000/01,S08000022,SMR04, ,2340,2340,2100,1540,350, 
160,2000/01,S08000032,Total,d,3850,3860,3380,2580,630, 
161,2000/01,S08000032,Total,d,880,880,780,670, ,:
162,2000/01,S08000032,SMR04, ,2970,2970,2590,1980,630, 
163,2000/01,S08000024,Total,d,6060,6100,5350,4040,930, 
164,2000/01,S08000024,Total,d,1120,1120,980,890, ,:
165,2000/01,S08000024,SMR04, ,4940,4970,4380,3260,930, 
166,2000/01,S08000025,Total,d,80,70,70,60,0, 
167,2000/01,S08000025,Total,d,80,70,70,60, ,:
168,2000/01,S08000025,SMR04, ,0,0,0,0,0, 
169,2000/01,S08000026,Total,d,90,100,100,80,0, 
170,2000/01,S08000026,Total,d,90,100,100,80, ,:
171,2000/01,S08000026,SMR04, ,0,0,0,0,0, 
172,2000/01,S08000030,Total,d,3210,3270,2990,2320,600, 
173,2000/01,S08000030,Total,d,600,600,580,540, ,:
174,2000/01,S08000030,SMR04, ,2620,2660,2410,1840,600, 
175,2000/01,S08000028,Total,d,330,330,310,210,30, 
176,2000/01,S08000028,Total,d,140,140,140,110, ,:
177,2000/01,S08000028,SMR04, ,190,190,170,110,30, 
178,2000/01,SB0802,Total,d,100,110,30,100,230, 
179,2000/01,SB0802,Total,d,0,0,0,0, ,:
180,2000/01,SB0802,SMR04, ,100,110,30,100,230, 
181,2001/02,S08000015,Total,d,3090,3130,2900,2090,390, 
182,2001/02,S08000015,Total,d,800,800,760,630, ,:
183,2001/02,S08000015,SMR04, ,2290,2330,2140,1550,390, 
184,2001/02,S08000016,Total,d,920,930,840,640,110, 
185,2001/02,S08000016,Total,d,270,260,250,210, ,:
186,2001/02,S08000016,SMR04, ,650,660,590,460,110, 
187,2001/02,S08000017,Total,d,1070,1080,970,780,150, 
188,2001/02,S08000017,Total,d,300,300,260,240, ,:
189,2001/02,S08000017,SMR04, ,770,780,710,570,150, 
190,2001/02,S08000029,Total,d,2170,2180,1840,1460,420, 
191,2001/02,S08000029,Total,d,340,330,290,280, ,:
192,2001/02,S08000029,SMR04, ,1840,1840,1550,1220,420, 
193,2001/02,S08000019,Total,d,1540,1560,1380,1100,290, 
194,2001/02,S08000019,Total,d,260,260,250,230, ,:
195,2001/02,S08000019,SMR04, ,1280,1300,1140,890,290, 
196,2001/02,S08000020,Total,d,3530,3550,3130,2400,560, 
197,2001/02,S08000020,Total,d,1060,1060,980,870, ,:
198,2001/02,S08000020,SMR04, ,2470,2500,2150,1600,560, 
199,2001/02,S08000031,Total,d,10480,10560,9180,7250,1760, 
200,2001/02,S08000031,Total,d,2830,2840,2400,2160, ,:
201,2001/02,S08000031,SMR04, ,7650,7710,6790,5320,1760, 
202,2001/02,S08000022,Total,d,3000,3040,2890,2090,310, 
203,2001/02,S08000022,Total,d,1050,1050,980,810, ,:
204,2001/02,S08000022,SMR04, ,1950,1990,1910,1410,310, 
205,2001/02,S08000032,Total,d,3690,3710,3260,2550,600, 
206,2001/02,S08000032,Total,d,790,780,690,610, ,:
207,2001/02,S08000032,SMR04, ,2900,2920,2570,2000,600, 
208,2001/02,S08000024,Total,d,6450,6470,5530,4180,900, 
209,2001/02,S08000024,Total,d,1310,1290,1050,970, ,:
210,2001/02,S08000024,SMR04, ,5140,5170,4470,3340,900, 
211,2001/02,S08000025,Total,d,80,80,80,60,0, 
212,2001/02,S08000025,Total,d,80,80,80,60, ,:
213,2001/02,S08000025,SMR04, ,0,0,0,0,0, 
214,2001/02,S08000026,Total,d,80,80,80,70,0, 
215,2001/02,S08000026,Total,d,80,80,80,70, ,:
216,2001/02,S08000026,SMR04, ,0,0,0,0,0, 
217,2001/02,S08000030,Total,d,3190,3240,2910,2260,550, 
218,2001/02,S08000030,Total,d,600,600,580,520, ,:
219,2001/02,S08000030,SMR04, ,2590,2640,2330,1810,550, 
220,2001/02,S08000028,Total,d,340,330,320,220,40, 
221,2001/02,S08000028,Total,d,160,160,160,120, ,:
222,2001/02,S08000028,SMR04, ,180,180,170,100,40, 
223,2001/02,SB0802,Total,d,160,150,20,140,230, 
224,2001/02,SB0802,Total,d,0,0,0,0, ,:
225,2001/02,SB0802,SMR04, ,160,150,20,140,230, 
226,2002/03,S08000015,Total,d,2840,2870,2710,2020,360, 
227,2002/03,S08000015,Total,d,770,770,750,640, ,:
228,2002/03,S08000015,SMR04, ,2070,2100,1960,1460,360, 
229,2002/03,S08000016,Total,d,980,990,890,680,110, 
230,2002/03,S08000016,Total,d,290,290,270,240, ,:
231,2002/03,S08000016,SMR04, ,690,700,620,470,110, 
232,2002/03,S08000017,Total,d,1020,1020,940,740,140, 
233,2002/03,S08000017,Total,d,260,260,230,200, ,:
234,2002/03,S08000017,SMR04, ,760,760,720,560,140, 
235,2002/03,S08000029,Total,d,2130,2220,1910,1470,330, 
236,2002/03,S08000029,Total,d,340,340,270,260, ,:
237,2002/03,S08000029,SMR04, ,1790,1880,1640,1230,330, 
238,2002/03,S08000019,Total,d,1600,1590,1400,1140,310, 
239,2002/03,S08000019,Total,d,270,270,270,250, ,:
240,2002/03,S08000019,SMR04, ,1340,1320,1140,920,310, 
241,2002/03,S08000020,Total,d,3200,3250,2940,2310,520, 
242,2002/03,S08000020,Total,d,880,890,860,740, ,:
243,2002/03,S08000020,SMR04, ,2320,2350,2090,1640,520, 
244,2002/03,S08000031,Total,d,10150,10200,8980,7170,1700, 
245,2002/03,S08000031,Total,d,2880,2870,2350,2170, ,:
246,2002/03,S08000031,SMR04, ,7270,7320,6630,5220,1700, 
247,2002/03,S08000022,Total,d,3050,3040,2890,2090,310, 
248,2002/03,S08000022,Total,d,1050,1040,980,790, ,:
249,2002/03,S08000022,SMR04, ,2000,2000,1910,1420,310, 
250,2002/03,S08000032,Total,d,3870,3910,3440,2740,570, 
251,2002/03,S08000032,Total,d,900,900,760,680, ,:
252,2002/03,S08000032,SMR04, ,2970,3010,2680,2140,570, 
253,2002/03,S08000024,Total,d,6540,6580,5620,4260,870, 
254,2002/03,S08000024,Total,d,1440,1440,1170,1060, ,:
255,2002/03,S08000024,SMR04, ,5110,5130,4440,3330,870, 
256,2002/03,S08000025,Total,d,60,60,60,60,0, 
257,2002/03,S08000025,Total,d,60,60,60,60, ,:
258,2002/03,S08000025,SMR04, ,0,0,0,0,0, 
259,2002/03,S08000026,Total,d,100,100,100,70,0, 
260,2002/03,S08000026,Total,d,100,100,100,70, ,:
261,2002/03,S08000026,SMR04, ,0,0,0,0,0, 
262,2002/03,S08000030,Total,d,2810,2860,2580,2080,500, 
263,2002/03,S08000030,Total,d,510,510,490,440, ,:
264,2002/03,S08000030,SMR04, ,2300,2350,2090,1680,500, 
265,2002/03,S08000028,Total,d,360,360,350,220,40, 
266,2002/03,S08000028,Total,d,180,180,180,140, ,:
267,2002/03,S08000028,SMR04, ,180,180,170,100,40, 
268,2002/03,SB0802,Total,d,260,260,30,170,240, 
269,2002/03,SB0802,Total,d,0,0,0,0, ,:
270,2002/03,SB0802,SMR04, ,260,260,30,170,240, 
271,2003/04,S08000015,Total,d,2880,2880,2670,2030,360, 
272,2003/04,S08000015,Total,d,830,830,790,670, ,:
273,2003/04,S08000015,SMR04, ,2050,2040,1880,1440,360, 
274,2003/04,S08000016,Total,d,1050,1040,930,680,120, 
275,2003/04,S08000016,Total,d,290,280,260,230, ,:
276,2003/04,S08000016,SMR04, ,760,760,670,480,120, 
277,2003/04,S08000017,Total,d,980,1000,890,690,120, 
278,2003/04,S08000017,Total,d,210,210,180,170, ,:
279,2003/04,S08000017,SMR04, ,770,790,710,550,120, 
280,2003/04,S08000029,Total,d,2090,2060,1820,1400,370, 
281,2003/04,S08000029,Total,d,300,310,260,230, ,:
282,2003/04,S08000029,SMR04, ,1790,1750,1560,1190,370, 
283,2003/04,S08000019,Total,d,1670,1700,1450,1170,290, 
284,2003/04,S08000019,Total,d,320,320,300,280, ,:
285,2003/04,S08000019,SMR04, ,1360,1380,1150,920,290, 
286,2003/04,S08000020,Total,d,3300,3330,2920,2330,480, 
287,2003/04,S08000020,Total,d,920,910,820,730, ,:
288,2003/04,S08000020,SMR04, ,2380,2420,2100,1660,480, 
289,2003/04,S08000031,Total,d,10010,10160,8770,7100,1560, 
290,2003/04,S08000031,Total,d,3090,3090,2450,2220, ,:
291,2003/04,S08000031,SMR04, ,6920,7070,6320,5090,1560, 
292,2003/04,S08000022,Total,d,2860,2880,2690,2040,290, 
293,2003/04,S08000022,Total,d,1020,1020,900,760, ,:
294,2003/04,S08000022,SMR04, ,1850,1870,1790,1400,290, 
295,2003/04,S08000032,Total,d,3930,3910,3290,2690,580, 
296,2003/04,S08000032,Total,d,1040,1030,800,710, ,:
297,2003/04,S08000032,SMR04, ,2890,2880,2480,2070,580, 
298,2003/04,S08000024,Total,d,6280,6260,5260,4140,880, 
299,2003/04,S08000024,Total,d,1470,1460,1140,1050, ,:
300,2003/04,S08000024,SMR04, ,4810,4790,4120,3230,880, 
301,2003/04,S08000025,Total,d,80,80,80,60,0, 
302,2003/04,S08000025,Total,d,80,80,80,60, ,:
303,2003/04,S08000025,SMR04, ,0,0,0,0,0, 
304,2003/04,S08000026,Total,d,90,90,90,70,0, 
305,2003/04,S08000026,Total,d,90,90,90,70, ,:
306,2003/04,S08000026,SMR04, ,0,0,0,0,0, 
307,2003/04,S08000030,Total,d,2940,2950,2640,2140,490, 
308,2003/04,S08000030,Total,d,550,560,530,490, ,:
309,2003/04,S08000030,SMR04, ,2390,2390,2100,1710,490, 
310,2003/04,S08000028,Total,d,400,400,390,260,40, 
311,2003/04,S08000028,Total,d,220,220,210,170, ,:
312,2003/04,S08000028,SMR04, ,190,180,180,110,40, 
313,2003/04,SB0802,Total,d,270,280,30,160,230, 
314,2003/04,SB0802,Total,d,0,0,0,0, ,:
315,2003/04,SB0802,SMR04, ,270,280,30,160,230, 
316,2004/05,S08000015,Total,d,3000,3000,2770,2030,370, 
317,2004/05,S08000015,Total,d,930,940,870,700, ,:
318,2004/05,S08000015,SMR04, ,2070,2060,1890,1430,370, 
319,2004/05,S08000016,Total,d,1050,1050,940,680,110, 
320,2004/05,S08000016,Total,d,280,280,250,210, ,:
321,2004/05,S08000016,SMR04, ,770,780,680,500,110, 
322,2004/05,S08000017,Total,d,940,930,850,670,130, 
323,2004/05,S08000017,Total,d,220,210,190,180, ,:
324,2004/05,S08000017,SMR04, ,730,720,660,520,130, 
325,2004/05,S08000029,Total,d,1960,1980,1730,1360,350, 
326,2004/05,S08000029,Total,d,290,290,230,220, ,:
327,2004/05,S08000029,SMR04, ,1660,1680,1490,1170,350, 
328,2004/05,S08000019,Total,d,1700,1720,1410,1190,280, 
329,2004/05,S08000019,Total,d,320,320,290,270, ,:
330,2004/05,S08000019,SMR04, ,1390,1400,1120,950,280, 
331,2004/05,S08000020,Total,d,2950,2960,2650,2140,480, 
332,2004/05,S08000020,Total,d,770,780,740,660, ,:
333,2004/05,S08000020,SMR04, ,2180,2180,1910,1530,480, 
334,2004/05,S08000031,Total,d,9490,9590,8340,6710,1470, 
335,2004/05,S08000031,Total,d,2770,2780,2280,2060, ,:
336,2004/05,S08000031,SMR04, ,6720,6810,6070,4860,1470, 
337,2004/05,S08000022,Total,d,2700,2700,2500,1850,300, 
338,2004/05,S08000022,Total,d,1030,1040,900,740, ,:
339,2004/05,S08000022,SMR04, ,1660,1660,1600,1240,300, 
340,2004/05,S08000032,Total,d,3900,3950,3360,2690,520, 
341,2004/05,S08000032,Total,d,1040,1040,790,680, ,:
342,2004/05,S08000032,SMR04, ,2860,2910,2570,2100,520, 
343,2004/05,S08000024,Total,d,6100,6190,5250,4030,800, 
344,2004/05,S08000024,Total,d,1340,1350,1080,1010, ,:
345,2004/05,S08000024,SMR04, ,4760,4840,4170,3150,800, 
346,2004/05,S08000025,Total,d,80,80,80,60,0, 
347,2004/05,S08000025,Total,d,80,80,80,60, ,:
348,2004/05,S08000025,SMR04, ,0,0,0,0,0, 
349,2004/05,S08000026,Total,d,70,70,70,60,0, 
350,2004/05,S08000026,Total,d,70,70,70,60, ,:
351,2004/05,S08000026,SMR04, ,0,0,0,0,0, 
352,2004/05,S08000030,Total,d,2630,2690,2360,1970,420, 
353,2004/05,S08000030,Total,d,500,480,460,430, ,:
354,2004/05,S08000030,SMR04, ,2130,2210,1900,1600,420, 
355,2004/05,S08000028,Total,d,350,350,340,240,40, 
356,2004/05,S08000028,Total,d,190,190,190,150, ,:
357,2004/05,S08000028,SMR04, ,160,160,150,100,40, 
358,2004/05,SB0802,Total,d,310,310,20,170,230, 
359,2004/05,SB0802,Total,d,0,0,0,0, ,:
360,2004/05,SB0802,SMR04, ,310,310,20,170,230, 
361,2005/06,S08000015,Total,d,2730,2750,2510,1930,340, 
362,2005/06,S08000015,Total,d,800,800,760,640, ,:
363,2005/06,S08000015,SMR04, ,1930,1950,1760,1370,340, 
364,2005/06,S08000016,Total,d,920,920,800,610,110, 
365,2005/06,S08000016,Total,d,300,300,250,220, ,:
366,2005/06,S08000016,SMR04, ,630,630,550,420,110, 
367,2005/06,S08000017,Total,d,900,890,800,650,150, 
368,2005/06,S08000017,Total,d,200,200,170,160, ,:
369,2005/06,S08000017,SMR04, ,700,680,630,510,150, 
370,2005/06,S08000029,Total,d,2060,2090,1810,1450,320, 
371,2005/06,S08000029,Total,d,290,290,230,220, ,:
372,2005/06,S08000029,SMR04, ,1770,1800,1580,1250,320, 
373,2005/06,S08000019,Total,d,1520,1550,1230,1060,250, 
